IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,17.3,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,GMB,Gambia,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,17.9,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,EUR,Europe,Country,TUR,Türkiye,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,17.9,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AFR,Africa,Country,MUS,Mauritius,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,18,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,TON,Tonga,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,18.5,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,19.2,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,19.5,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AMR,Americas,Country,COL,Colombia,Year,2017,true,Sex,Female,SEX_FMLE,,,,,,,,,,,,,,,,19.6,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AMR,Americas,Country,COL,Colombia,Year,2017,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,,,,,,,20.2,,,EN,2023-12-06T23:00:00.000Z
Yth_curr_tob_use,Prevalence of current tobacco use among adolescents (%),text,AMR,Americas,Country,COL,Colombia,Year,2017,true,Sex,Male,SEX_MLE,,,,,,,,,,,,,,,,20.6,,,EN,2023-12-06T23:00:00.000Z
