iso3,year,malaria_total_cases
NPL,2017,3610.0
NPL,2018,3031.0
NPL,2019,710.0
NPL,2020,430.0
NPL,2021,373.0
NPL,2022,512.0
NPL,2023,665.0
PAK,2015,3778090.0
PAK,2016,2126497.0
PAK,2017,2209708.0
PAK,2018,1069052.0
PAK,2019,413533.0
PAK,2020,372416.0
PAK,2021,400316.0
PAK,2022,1824844.0
PAK,2023,2748549.0
PAN,2015,562.0
PAN,2016,811.0
PAN,2017,689.0
PAN,2018,715.0
PAN,2019,1597.0
PAN,2020,2206.0
PAN,2021,4364.0
PAN,2022,7173.0
PAN,2023,11611.0
PER,2015,66609.0
PER,2016,56671.0
PER,2017,55367.0
PER,2018,45619.0
PER,2019,24483.0
PER,2020,15847.0
PER,2021,18140.0
PER,2022,27785.0
PER,2023,22625.0
PHL,2015,11445.0
PHL,2016,6690.0
PHL,2017,6806.0
PHL,2018,4641.0
PHL,2019,5778.0
PHL,2020,6120.0
PHL,2021,4297.0
PHL,2022,3245.0
PHL,2023,6248.0
PNG,2015,620785.0
PNG,2016,785120.0
PNG,2017,892235.0
PNG,2018,940693.0
PNG,2019,804134.0
PNG,2020,932973.0
PNG,2021,755598.0
PNG,2022,1022780.0
PNG,2023,952886.0
PRK,2015,7409.0
PRK,2016,5113.0
PRK,2017,4626.0
PRK,2018,3698.0
PRK,2019,1869.0
PRK,2020,1819.0
PRK,2021,2357.0
PRK,2022,2136.0
PRK,2023,3160.0
PRY,2015,8.0
PRY,2016,10.0
PRY,2017,5.0
PRY,2018,0.0
PRY,2019,2.0
PRY,2020,1.0
PRY,2021,4.0
PRY,2022,3.0
PRY,2023,0.0
RWA,2015,2505794.0
RWA,2016,3380568.0
RWA,2017,5940533.0
RWA,2018,4231883.0
RWA,2019,3612822.0
RWA,2020,2043392.0
RWA,2021,1163670.0
RWA,2022,857228.0
RWA,2023,549326.0
SAU,2015,2620.0
SAU,2016,5382.0
SAU,2017,3151.0
SAU,2018,2711.0
SAU,2019,2152.0
SAU,2020,3658.0
SAU,2021,1091.0
SAU,2022,4319.0
SAU,2023,6460.0
SDN,2015,1102186.0
SDN,2016,897194.0
SDN,2017,1642058.0
SDN,2018,3627586.0
SDN,2019,3568941.0
SDN,2020,3412499.0
SDN,2021,3960654.0
SDN,2022,3768163.0
SDN,2023,1304528.0
SEAR,2015,1659425.0
SEAR,2016,1477428.0
SEAR,2017,1240255.0
SEAR,2018,752907.0
SEAR,2019,671608.0
SEAR,2020,512084.0
SEAR,2021,558990.0
SEN,2015,502084.0
SEN,2016,356272.0
SEN,2017,398377.0
SEN,2018,536745.0
SEN,2019,359246.0
SEN,2020,452984.0
SEN,2021,547773.0
SEN,2022,391679.0
SEN,2023,232465.0
SLB,2015,50916.0
SLB,2016,84514.0
SLB,2017,68712.0
SLB,2018,72430.0
SLB,2019,86122.0
SLB,2020,90830.0
SLB,2021,129758.0
SLB,2022,139810.0
SLB,2023,147145.0
SLE,2015,1569606.0
SLE,2016,1845727.0
SLE,2017,1741512.0
SLE,2018,1781855.0
SLE,2019,2445392.0
SLE,2020,1223397.0
SLE,2021,2043818.0
SLE,2022,1862886.0
SLE,2023,2148650.0
SLV,2015,9.0
SLV,2016,14.0
SLV,2017,4.0
SLV,2018,2.0
SLV,2019,3.0
SLV,2020,0.0
SLV,2021,4.0
SLV,2022,1.0
SLV,2023,8.0
SOM,2015,39169.0
SOM,2016,58021.0
SOM,2017,37156.0
SOM,2018,31030.0
SOM,2019,65375.0
SOM,2020,27333.0
SOM,2021,50648.0
SOM,2022,23450.0
SOM,2023,13688.0
SSD,2015,3789475.0
SSD,2016,555957.0
SSD,2017,4054795.0
SSD,2018,4697506.0
SSD,2019,4064662.0
SSD,2020,1805371.0
SSD,2021,3149649.0
SSD,2022,5538588.0
SSD,2023,5089688.0
STP,2015,2058.0
STP,2016,2238.0
STP,2017,2241.0
STP,2018,2940.0
STP,2019,2457.0
STP,2020,1944.0
STP,2021,2730.0
STP,2022,3979.0
STP,2023,2368.0
SUR,2015,376.0
SUR,2016,332.0
SUR,2017,551.0
SUR,2018,235.0
SUR,2019,215.0
SUR,2020,238.0
SUR,2021,77.0
SUR,2022,61.0
SUR,2023,102.0
SWZ,2015,475.0
SWZ,2016,317.0
SWZ,2017,1127.0
SWZ,2018,957.0
SWZ,2019,589.0
SWZ,2020,325.0
SWZ,2021,581.0
SWZ,2022,369.0
SWZ,2023,845.0
TCD,2015,1490556.0
TCD,2016,1402215.0
TCD,2017,1962372.0
TCD,2018,1364706.0
TCD,2019,1910518.0
TCD,2020,1890264.0
TCD,2021,1811859.0
TCD,2022,1882503.0
TCD,2023,2294100.0
TGO,2015,1610711.0
TGO,2016,1746334.0
TGO,2017,1756582.0
TGO,2018,2002877.0
TGO,2019,2406091.0
TGO,2020,1737469.0
TGO,2021,1845368.0
TGO,2022,2222943.0
TGO,2023,2367706.0
THA,2015,27385.0
THA,2016,17800.0
THA,2017,11440.0
THA,2018,6750.0
THA,2019,5421.0
THA,2020,3940.0
THA,2021,3279.0
THA,2022,10154.0
THA,2023,16684.0
TJK,2015,5.0
TJK,2016,1.0
TJK,2017,3.0
TJK,2019,3.0
TJK,2020,0.0
TJK,2022,1.0
TJK,2023,9.0
TKM,2015,0.0
TKM,2016,0.0
TKM,2017,0.0
TKM,2018,0.0
TKM,2019,3.0
TKM,2020,0.0
TLS,2015,80.0
TLS,2016,95.0
TLS,2017,30.0
TLS,2018,8.0
TLS,2019,9.0
TLS,2020,14.0
TLS,2021,0.0
TLS,2022,2.0
TLS,2023,9.0
TUR,2015,224.0
TUR,2016,209.0
TUR,2017,214.0
TUR,2018,238.0
TUR,2019,279.0
TUR,2020,135.0
TZA,2015,8406354.0
TZA,2016,6624054.0
TZA,2017,5988136.0
TZA,2018,6558257.0
TZA,2019,6575185.0
TZA,2020,6346069.0
TZA,2021,4632180.0
TZA,2022,3666741.0
TZA,2023,3775205.0
UGA,2015,13696889.0
UGA,2016,14008604.0
UGA,2017,11667831.0
UGA,2018,8522824.0
UGA,2019,15592793.0
UGA,2020,17475040.0
UGA,2021,15144755.0
UGA,2022,20012873.0
UGA,2023,16525582.0
UZB,2015,0.0
UZB,2016,0.0
UZB,2017,0.0
UZB,2018,0.0
UZB,2019,1.0
UZB,2020,2.0
VEN,2015,137996.0
VEN,2016,301466.0
VEN,2017,525897.0
VEN,2018,522059.0
VEN,2019,492753.0
VEN,2020,232757.0
VEN,2021,194057.0
VEN,2022,151458.0
VEN,2023,130077.0
VNM,2015,19252.0
VNM,2016,10446.0
VNM,2017,8411.0
VNM,2018,6870.0
VNM,2019,5987.0
VNM,2020,1733.0
VNM,2021,467.0
VNM,2022,455.0
VNM,2023,453.0
VUT,2015,845.0
VUT,2016,2531.0
VUT,2017,1228.0
VUT,2018,644.0
VUT,2019,576.0
VUT,2020,507.0
VUT,2021,322.0
VUT,2022,1143.0
VUT,2023,2261.0
WPR,2015,813712.0
WPR,2016,954305.0
WPR,2017,1069932.0
WPR,2018,1104615.0
WPR,2019,790987.0
WPR,2020,1049905.0
WPR,2021,902732.0
YEM,2015,104831.0
YEM,2016,145627.0
YEM,2017,143333.0
YEM,2018,233143.0
YEM,2019,216763.0
YEM,2020,202671.0
YEM,2021,244857.0
YEM,2022,201792.0
YEM,2023,199420.0
ZAF,2015,4959.0
ZAF,2016,4323.0
ZAF,2017,29615.0
ZAF,2018,10789.0
ZAF,2019,13833.0
ZAF,2020,8126.0
ZAF,2021,5889.0
ZAF,2022,7280.0
ZAF,2023,9890.0
ZMB,2015,5094123.0
ZMB,2016,5976192.0
ZMB,2017,6054679.0
ZMB,2018,5195723.0
ZMB,2019,5360020.0
ZMB,2020,8698304.0
ZMB,2021,7159243.0
ZMB,2022,8318534.0
ZMB,2023,8470695.0
ZWE,2015,484794.0
ZWE,2016,384029.0
ZWE,2017,767069.0
ZWE,2018,266789.0
ZWE,2019,308173.0
ZWE,2020,447381.0
ZWE,2021,133137.0
ZWE,2022,141076.0
ZWE,2023,248699.0
