Region,Location,yr_law,yr_fb50,gap_years,product
Western Pacific,Malaysia,2007,2008.0,1.0,cig
Western Pacific,Mongolia,2007,2012.0,5.0,cig
Western Pacific,New Zealand,2007,2007.0,0.0,cig
Western Pacific,Niue,2018,2018.0,0.0,cig
Western Pacific,Papua New Guinea,2007,2018.0,11.0,cig
Western Pacific,Philippines,2007,2014.0,7.0,cig
Western Pacific,Republic of Korea,2007,2016.0,9.0,cig
Western Pacific,Samoa,2008,2014.0,6.0,cig
Western Pacific,Singapore,2007,2007.0,0.0,cig
Western Pacific,Solomon Islands,2010,2014.0,4.0,cig
Western Pacific,Tonga,2007,2007.0,0.0,cig
Western Pacific,Vanuatu,2007,2014.0,7.0,cig
Western Pacific,Viet Nam,2007,2012.0,5.0,cig
Africa,Benin,2007,2022.0,15.0,osm
Africa,Burkina Faso,2007,2012.0,5.0,osm
Africa,Burundi,2018,2018.0,0.0,osm
Africa,Cabo Verde,2022,2022.0,0.0,osm
Africa,Cameroon,2007,2007.0,0.0,osm
Africa,Chad,2007,2010.0,3.0,osm
Africa,Cote d'Ivoire,2007,2022.0,15.0,osm
Africa,Democratic Republic of the Congo,2018,2018.0,0.0,osm
Africa,Eswatini,2014,2014.0,0.0,osm
Africa,Ethiopia,2014,2020.0,6.0,osm
Africa,Gambia,2010,2020.0,10.0,osm
Africa,Ghana,2010,2012.0,2.0,osm
Africa,Mauritania,2018,2018.0,0.0,osm
Africa,Mauritius,2007,2022.0,15.0,osm
Africa,Namibia,2010,2014.0,4.0,osm
Africa,Niger,2007,2012.0,5.0,osm
Africa,Nigeria,2007,2016.0,9.0,osm
Africa,Senegal,2007,2016.0,9.0,osm
Africa,Seychelles,2010,2010.0,0.0,osm
Africa,Togo,2010,2010.0,0.0,osm
Africa,Uganda,2016,2016.0,0.0,osm
Americas,Antigua and Barbuda,2018,2018.0,0.0,osm
Americas,Argentina,2007,2012.0,5.0,osm
Americas,Barbados,2018,2018.0,0.0,osm
Americas,Bolivia (Plurinational State of),2007,2007.0,0.0,osm
Americas,Brazil,2007,2007.0,0.0,osm
Americas,Canada,2010,2010.0,0.0,osm
Americas,Chile,2007,2007.0,0.0,osm
Americas,Costa Rica,2007,2012.0,5.0,osm
Americas,Ecuador,2007,2012.0,5.0,osm
Americas,El Salvador,2007,2012.0,5.0,osm
Americas,Guyana,2018,2018.0,0.0,osm
Americas,Honduras,2007,2010.0,3.0,osm
Americas,Jamaica,2007,2014.0,7.0,osm
Americas,Mexico,2008,2010.0,2.0,osm
Americas,Nicaragua,2007,2010.0,3.0,osm
Americas,Panama,2007,2007.0,0.0,osm
Americas,Peru,2007,2010.0,3.0,osm
Americas,Saint Lucia,2018,2018.0,0.0,osm
Americas,Suriname,2014,2014.0,0.0,osm
Americas,Trinidad and Tobago,2010,2014.0,4.0,osm
Americas,Uruguay,2007,2007.0,0.0,osm
Eastern Mediterranean,Afghanistan,2016,2016.0,0.0,osm
